# NewsOffline.txt
# 2023/10/6 20:30

离线更新日志 for Ver.3.6.8

ID	作者	日期	消息
0badb8de289572191bb75b142bf00d9876db7cd1	To ling <sjzbjs@outlook.com>	2023/10/6 12:29:14 +00:00	修复N2Nmc服务器通信bug引起的一些错误，以及N2Nmc客户端的线程同步死锁导致的关闭无响应
ac1655086751af1fb7c38d0323410b2dfb9e032e	To ling <sjzbjs@outlook.com>	2023/10/6 7:38:32 +00:00	完善开启UAC的Windows用户在更新和安装TapWindows时出现崩溃和安装失败的情况的异常处理；修复可能与服务器通通信异常的bug
364d5c389b7be84a768cf5efc7748cf2cffa8f94	To ling <sjzbjs@outlook.com>	2023/10/5 17:05:14 +00:00	修复更新器问题
f1323458e941f4f3ac09254c5cd3cc4cc7fe3408	To ling <sjzbjs@outlook.com>	2023/10/5 16:49:07 +00:00	更新版本信息，优化界面；修复更新bug；
6a502ad6195f0b1b82053f5dcf7871ec98901e5f	To ling <sjzbjs@outlook.com>	2023/10/5 15:20:48 +00:00	优化一些逻辑问题；修改发布方式，加快应用启动速度；更换配置文件方案；新增在线自动更新功能
6c433f21b92fb1fd6bd6590aed9ff77cc15e9578	To ling <sjzbjs@outlook.com>	2023/10/5 13:47:23 +00:00	优化一些逻辑问题；修改发布方式，加快应用启动速度；更换配置文件方案；新增在线自动更新功能
1b9bffe228641510d7a409b77155b4d054639b8e	To ling <sjzbjs@outlook.com>	2023/10/5 0:08:13 +00:00	修改Tap驱动检测逻辑；优化界面；优化edge启动兼容；自动结束edge冲突；房间列表自动刷新；防止多开房间；大厅界面优化；减少无用引用；下一次开源计划将推迟到4.0版本
20f4278129f4260b569c003f9055b1ce7d38a489	薛江彬 <483188479@qq.com>	2023/10/3 12:16:08 +00:00	更换服务器
ad5327686779a229f5d1915fbdc6584b9114178c	薛江彬 <483188479@qq.com>	2023/10/3 12:13:20 +00:00	Merge branch 'main' of https://gitee.com/xue-jiangbin/n2nmc-private
52c7b9afd30cd6f47f4977ece640a7ec175a141d	To ling <sjzbjs@outlook.com>	2023/10/1 12:52:54 +00:00	# Uncomplete commit
5c4a957f1790367bf33e26f29ba92cac715a52aa	薛江彬 <483188479@qq.com>	2023/10/3 12:12:56 +00:00	服务器更改
3dc8526b989099c8293efc19084820cc15aadfe9	薛江彬 <483188479@qq.com>	2023/10/1 15:22:49 +00:00	更换服务器
56b3d28185fd9db5db352597ced44b5b70707382	To ling <sjzbjs@outlook.com>	2023/9/2 16:13:35 +00:00	修复快速加入的错误；修复创建房间后自动进入房间后空无一人；优化搜索和刷新之间的逻辑；修复房间检测；在3.5版本后将会继续开源；版本号更新至3.4.5；下一个版本为3.5
fcdafd1ad625461abc72da78a8f014309549637c	To ling <sjzbjs@outlook.com>	2023/9/2 15:19:55 +00:00	marge
